datetime,x,y,z
1989-03-11 14:44:10,16571,-4132,54663
1989-03-11 14:44:20,16569,-4132,54661
1989-03-11 14:44:30,16569,-4132,54664
1989-03-11 14:44:40,16570,-4133,54662
1989-03-11 14:44:50,16569,-4133,54661
1989-03-11 14:45:00,16570,-4132,54663
1989-03-11 14:45:10,16570,-4133,54662
1989-03-11 14:45:20,16570,-4134,54661
1989-03-11 14:45:30,16570,-4133,54663
1989-03-11 14:45:40,16569,-4134,54662
1989-03-11 14:45:50,16569,-4133,54662
1989-03-11 14:46:00,16569,-4132,54662
1989-03-11 14:46:10,16571,-4133,54661
1989-03-11 14:46:20,16570,-4134,54661
1989-03-11 14:46:30,16570,-4133,54662
1989-03-11 14:46:40,16571,-4132,54664
1989-03-11 14:46:50,16572,-4132,54663
1989-03-11 14:47:00,16571,-4134,54662
1989-03-11 14:47:10,16572,-4133,54663
1989-03-11 14:47:20,16572,-4134,54663
1989-03-11 14:47:30,16571,-4134,54662
1989-03-11 14:47:40,16571,-4133,54662
1989-03-11 14:47:50,16573,-4131,54662
1989-03-11 14:48:00,16571,-4132,54662
1989-03-11 14:48:10,16571,-4132,54662
1989-03-11 14:48:20,16570,-4132,54662
1989-03-11 14:48:30,16571,-4132,54661
1989-03-11 14:48:40,16571,-4132,54661
1989-03-11 14:48:50,16572,-4132,54660
1989-03-11 14:49:00,16571,-4131,54661
1989-03-11 14:49:10,16571,-4131,54661
1989-03-11 14:49:20,16570,-4131,54661
1989-03-11 14:49:30,16571,-4131,54660
1989-03-11 14:49:40,16572,-4131,54660
1989-03-11 14:49:50,16571,-4132,54660
1989-03-11 14:50:00,16571,-4130,54663
1989-03-11 14:50:10,16572,-4129,54662
1989-03-11 14:50:20,16573,-4131,54661
1989-03-11 14:50:30,16572,-4130,54662
1989-03-11 14:50:40,16571,-4130,54662
1989-03-11 14:50:50,16572,-4131,54661
1989-03-11 14:51:00,16571,-4131,54661
1989-03-11 14:51:10,16572,-4131,54663
1989-03-11 14:51:20,16573,-4132,54663
1989-03-11 14:51:30,16573,-4134,54661
1989-03-11 14:51:40,16572,-4134,54662
1989-03-11 14:51:50,16571,-4131,54663
1989-03-11 14:52:00,16571,-4131,54663
1989-03-11 14:52:10,16571,-4132,54662
1989-03-11 14:52:20,16573,-4134,54661
1989-03-11 14:52:30,16572,-4134,54662
1989-03-11 14:52:40,16573,-4134,54661
1989-03-11 14:52:50,16572,-4134,54661
1989-03-11 14:53:00,16571,-4131,54663
1989-03-11 14:53:10,16572,-4132,54661
1989-03-11 14:53:20,16572,-4132,54661
1989-03-11 14:53:30,16571,-4132,54660
1989-03-11 14:53:40,16571,-4132,54661
1989-03-11 14:53:50,16571,-4132,54661
1989-03-11 14:54:00,16573,-4132,54660
1989-03-11 14:54:10,16571,-4131,54662
1989-03-11 14:54:20,16571,-4130,54661
1989-03-11 14:54:30,16572,-4130,54662
1989-03-11 14:54:40,16572,-4131,54662
1989-03-11 14:54:50,16571,-4132,54661
1989-03-11 14:55:00,16571,-4132,54661
1989-03-11 14:55:10,16572,-4133,54660
1989-03-11 14:55:20,16573,-4133,54661
1989-03-11 14:55:30,16572,-4134,54660
1989-03-11 14:55:40,16572,-4133,54661
1989-03-11 14:55:50,16572,-4132,54661
1989-03-11 14:56:00,16572,-4132,54661
1989-03-11 14:56:10,16572,-4131,54662
1989-03-11 14:56:20,16572,-4132,54660
1989-03-11 14:56:30,16570,-4131,54662
1989-03-11 14:56:40,16572,-4130,54662
1989-03-11 14:56:50,16572,-4130,54662
1989-03-11 14:57:00,16571,-4132,54659
1989-03-11 14:57:10,16571,-4131,54660
