Time,Z,dT
1958-02-10 18:23:00,44969.90359831279,22980.00000006484
1958-02-10 18:23:20,44969.88354206854,23000.00000005523
1958-02-10 18:23:40,44969.86348582429,23020.00000004562
1958-02-10 18:24:00,44969.84342958004,23040.00000003601
1958-02-10 18:24:20,44969.823373335785,23060.000000026397
1958-02-10 18:24:40,44969.80331709154,23080.00000001679
1958-02-10 18:25:00,44969.78326084728,23100.000000007178
1958-02-10 18:25:20,44969.763204603034,23119.999999997566
1958-02-10 18:25:40,44969.74314835878,23139.99999998796
1958-02-10 18:26:00,44969.72309211453,23159.999999978347
1958-02-10 18:26:20,44969.703035870276,23179.999999968735
1958-02-10 18:26:40,44969.68297962603,23199.999999959124
1958-02-10 18:27:00,44969.66292338177,23219.999999949516
1958-02-10 18:27:20,44969.642867137525,23239.999999939904
1958-02-10 18:27:40,44969.62281089327,23259.999999930293
1958-02-10 18:28:00,44969.60275464902,23279.99999992068
1958-02-10 18:28:20,44969.58269840477,23299.999999911073
1958-02-10 18:28:40,44969.56264216052,23319.99999990146
1958-02-10 18:29:00,44969.542585916264,23339.99999989185
1958-02-10 18:29:20,44969.52252967202,23359.99999988224
1958-02-10 18:29:40,44969.50247342776,23379.99999987263
1958-02-10 18:30:00,44969.48241718351,23399.99999986302
1958-02-10 18:30:20,44969.46236093926,23419.999999853408
1958-02-10 18:30:40,44969.44230469501,23439.999999843796
1958-02-10 18:31:00,44969.422248450755,23459.99999983419
1958-02-10 18:31:20,44969.40219220651,23479.999999824577
1958-02-10 18:31:40,44969.38213596225,23499.999999814965
1958-02-10 18:32:00,44969.362079718005,23519.999999805354
1958-02-10 18:32:20,44969.34202347376,23539.999999795746
1958-02-10 18:32:40,44969.3219672295,23559.999999786134
1958-02-10 18:33:00,44969.31004280162,23579.99999977846
1958-02-10 18:33:20,44969.410324023025,23599.999999797525
1958-02-10 18:33:40,44969.510605244424,23619.99999981659
1958-02-10 18:34:00,44969.61088646582,23639.999999835654
1958-02-10 18:34:20,44969.71116768722,23659.99999985472
1958-02-10 18:34:40,44969.81144890862,23679.999999873788
1958-02-10 18:35:00,44969.91173013002,23699.99999989285
1958-02-10 18:35:20,44970.01201135142,23719.999999911917
1958-02-10 18:35:40,44970.11229257282,23739.99999993098
1958-02-10 18:36:00,44970.21257379422,23759.999999950047
1958-02-10 18:36:20,44970.31285501562,23779.99999996911
1958-02-10 18:36:40,44970.41313623702,23799.999999988177
1958-02-10 18:37:00,44970.51341745842,23820.000000007243
1958-02-10 18:37:20,44970.613698679816,23840.000000026306
1958-02-10 18:37:40,44970.713979901215,23860.000000045373
1958-02-10 18:38:00,44970.814261122614,23880.000000064436
1958-02-10 18:38:20,44970.91454234401,23900.000000083503
1958-02-10 18:38:40,44971.01482356541,23920.000000102566
1958-02-10 18:39:00,44971.11510478681,23940.000000121632
